x_1,t_eng_1,t_fil_1,x_2,t_eng_2,t_fil_2,label
protain xl,pɹoʊteɪn ɛksɛl,pɾotaʔinksl,ditropan xl,dɪtɹəpæn ɛksɛl,ditɾopanksl,0
ritalin la,ɹɪɾɐlɪn læ,ɾitalinla,ritalin sr,ɹɪɾɐlɪn ɛsɑːɹ,ɾitalinsɾ,1
methadone,mɛθɐdoʊn,methadone,methylphenidate,mɛθəlfɛnɪdeɪt,methjlphenidate,1
amoxapine,æməksæpaɪn,ʔamoksapine,amoxil,æməksɪl,ʔamoksil,0
fentanyl 25,fɛntɐnaɪl twɛnti faɪv,fentanjl25,fentanyl citrate,fɛntɐnaɪl sɪtɹeɪt,fentanjlkitɾate,0
aminocaproic acid in plastic container,ɐmɪnəkɐpɹoʊɪk æsɪd ɪn plæstɪk kənteɪnɚ,ʔaminokapɾojsʔasidʔinplastikkontaʔineɾ,cefotan in plastic container,sɛfɑːtən ɪn plæstɪk kənteɪnɚ,kefotanʔinplastikkontaʔineɾ,0
azelastine hydrochloride,eɪzlɐstiːn haɪdɹəkloːɹaɪd,ʔazelastinehjdɾoʧloɾide,propoxyphene hydrochloride,pɹəpɑːksɪfiːn haɪdɹəkloːɹaɪd,pɾopoksjphenehjdɾoʧloɾide,0
topamax,tɑːpɐmæks,topamaks,tindamax,tɪndɐmæks,tindamaks,0
aplenzin,ɐplɛnzɪn,ʔaplenzin,salutensin,səluːtənsɪn,salutensin,0
seroquel,sɛɹɑːkwəl,seɾokel,seroquel xr,sɛɹɑːkwəl ɛksɑːɹ,seɾokelksɾ,1
daptomycin,dæptəmaɪsɪn,daptomjsjn,achromycin,ækɹoʊmaɪsɪn,ʔaʧɾomjsjn,0
bicillin l a,baɪsɪlɪn ɛl eɪ,bjsillinlʔa,penicillin 2,pɛnɪsɪlɪn tuː,penisillin2,0
vicodin,vaɪkədɪn,vikodin,visicol,vɪsɪkɑːl,vikol,1
nizatidine,nɪzɐtɪdiːn,nisatidine,tizanidine,tɪzɐnɪdiːn,tisanidine,1
talquetamab tgvs,tælkwɪtæmæb tiːdʒiːviːɛs,talketamabtgvs,teclistamab cqyv,tɛklɪstæmæb siːkɪv,teklistamabkkjv,1
brethine,bɹɛθaɪn,bɾethine,methergine,mɛðɚdʒɪn,metheɾgine,1
vesicare,vɛsɪkɛɹ,vesikaɾe,vessel care,vɛsəl kɛɹ,vselkaɾe,1
triavil 2 10,tɹaɪævəl tuː tɛn,tɾiʔavjl210,triavil 4 25,tɹaɪævəl foːɹ twɛnti faɪv,tɾiʔavjl425,0
tanzeum,tænziːəm,tansjum,tresiba,tɹɛzɪbə,tɾesiba,1
tegison,tɛdʒɪsən,tegison,tikosyn,tɪkəsɪn,tikosjn,0
polyethylene glycol,pɑːlɪɛθɪliːn glaɪkɑːl,poljethjleneglikeol,propylene glycol,pɹoʊpəliːn glaɪkɑːl,pɾopjleneglikeol,1
valganciclovir,vælgɐnsɪkləvɪɹ,valgansjslovjɾ,acyclovir,ɐkaɪkləvɪɹ,ʔasikelovjɾ,0
valcyte,vælsaɪt,vositeʔ,valtrex,væltɹɛks,valtɾeks,1
coagulation factor ix,koʊægjʊleɪʃən fæktɚ ɹoʊmən naɪn,koʔagulationfaktoɾʔiks,factor ix complex vapor heated,fæktɚ ɹoʊmən naɪn kɑːmplɛks veɪpɚ hiːɾɪd,faktoɾʔikskompleksvapoɾheated,1
cyclophosphamide,saɪkləfɑːsfɐmaɪd,sikelophosphamide,cycloserine,saɪkloʊzɹiːn,sikeloseɾine,1
amidate,ɐmɪdeɪt,ʔamidate,amitid,æmɪtɪd,ʔamitid,0
proscar,pɹəskɑːɹ,pɾoskaɾ,promapar,pɹɑːmɐpɑːɹ,pɾomapaɾ,0
plavix,plævɪks,plavjks,pradax,pɹædæks,pɾadaks,1
vanceril,vænsɚɹəl,vankeɾil,vancor,væŋkɚ,vankoɾ,0
leucovorin calcium,luːkəvoːɹɪn kælsiəm,leukovʔoɾinkalsjum,levoleucovorin,lɛvoʊljuːkəvoːɹɪn,levalukovʔoɾin,1
kaletra,kælɛtɹə,kaletɾa,keppra,kɛpɹə,keppɾa,1
apidra,ɐpɪdɹə,ʔapidɾa,spiriva,spɪɹɪvə,spiɾiva,1
fiorinal,fɪoːɹɪnəl,fioɾinal,lanorinal,lænoːɹɪnəl,lanoɾinal,0
tromethamine,tɹoʊmθɐmiːn,tɾomethamine,ketorolac tromethamine,kɛɾoːɹɑːlæk tɹoʊmθɐmiːn,ketoɾolaktɾomethamine,0
polycitra,pɑːlɪsɪtɹə,poljsitɾa,placidyl,plæsɪdɪl,plasjdjl,0
sulfadiazine,sʌlfeɪdɪɐziːn,sulfadiasʔineʔ,sulfatrim ds,sʌlfætɹɪm diːɛs,sulfatɾimds,0
acetated ringer s in plastic container,æsɪteɪɾɪd ɹɪŋɚɹ ɛs ɪn plæstɪk kənteɪnɚ,ʔaketatedɾiŋeɾsʔinplastikkontaʔineɾ,cefizox in plastic container,sɛfɪzɑːks ɪn plæstɪk kənteɪnɚ,kefisoksʔinplastikkontaʔineɾ,0
pamelor,peɪmlɚ,pameloɾ,dymelor,daɪmɛlɚ,djmeloɾ,0
minoxidil,mɪnəksɪdɪl,minoksidil,minoxidin,mɪnəksɪdɪn,minoksidin,1
pentobarbital,pɛntəbɑːɹbɪɾəl,pentobaɾbital,pentoxil,pɛntəksɪl,pentoksil,0
dexilant,dɛksɪlənt,deksʔilant,duloxetine,duːləksɛtiːn,duloksetine,1
foradil,fɔːɹɐdɪl,foɾadil,fortical,fɔːɹɾɪkəl,foɾtikal,1
didanosine,dɪdɐnɑːsaɪn,didanosine,inapsine,ɪnæpsaɪn,ʔinapsine,0
keflex,kɛflɛks,keflks,keppra,kɛpɹə,keppɾa,1
aggrastat,ɐgɹæstæt,ʔaggɾastat,argatroban,ɑːɹgɐtɹɑːbən,ʔaɾgatɾoban,1
leukeran,luːkɚɹən,leukeɾan,myleran,maɪlɚɹən,mjleɾan,1
janumet,dʒænuːmɪt,ʤanumet,januvia,dʒænuːviə,ʤanuvja,1
fluoxetine,fljuːəksɛtiːn,fluʔoksetine,loxitane,lɑːksɪteɪn,loksitaneʔ,1
tresiba,tɹɛzɪbə,tɾesiba,trulicity,tɹuːlɪsɪɾi,tɾuljsitj,1
lanthanum carbonate,lænθænəm kɑːɹbəneɪt,lanthanumkaɾbonate,lithium carbonate,lɪθiəm kɑːɹbəneɪt,lithiʔumkaɾbonate,1
ketoconazole,kɛɾəkɑːnɐzoʊl,ketokonasole,tioconazole,tɪɑːkənæzoʊl,tiokonasole,0
tegretol,tɛgɹɪtɑːl,tegɾetol,tegretol xr,tɛgɹɪtɑːl ɛksɑːɹ,tegɾetolksɾ,1
diazepam,daɪəzɛpæm,diasepam,diltiazem,dɪlʃɪeɪzəm,diltiʔazem,1
fanapt,fænæpt,fanapt,xanax,zænæks,ksanaʔks,1
levothyroxine,lɛvəθɪɹəksaɪn,levatjɾoksʔineʔ,liothyronine,lɪɑːθɪɹɑːnaɪn,liotjɾonine,1
neulasta,nuːlæstə,neulasta,reclast,ɹɪklæst,ɾeklast,0
zantac,zæntæk,zantak,zyrtec,zɪətɛk,zjɾtek,1
midodrine,mɪdədɹiːn,midodɾine,midrin,mɪdɹɪn,midɾin,1
florastor,floːɹæstɚ,floɾastoɾ,florinef,flɔːɹaɪnəf,floɾinef,1
methimazole,mɛθɪmæzoʊl,methimasole,metimyd,mɛɾɪmɪd,metimjd,0
topamax,tɑːpɐmæks,topamaks,toprol xl,tɑːpɹɑːl ɛksɛl,topɾolksl,1
doxil,dɑːksɪl,doksil,roxilox,ɹɑːksɪlɑːks,ɾoksiloks,0
comvax,kəmvæks,komvejks,compazine,kəmpæziːn,kompasʔineʔ,0
lanoxin,lænəksɪn,lanoksin,levothyroxine,lɛvəθɪɹəksaɪn,levatjɾoksʔineʔ,1
oxycodone,ɑːksɪkɑːdoʊn,ʔoksikeodone,oxymorphone,ɑːksɪmoːɹfoʊn,ʔoksjmoɾphone,1
pepcid,pɛpsɪd,pepsid,prevacid,pɹɪvæsɪd,pɾevasjd,0
rifabutin,ɹɪfɐbjuːtɪn,ɾifabutin,rifapentine,ɹɪfeɪpɛntiːn,ɾifapentine,1
effexor xr,ɛfɛksɚɹ ɛksɑːɹ,ʔeffeksoɾksɾ,enablex,ɛneɪbləks,ʔenableks,1
solu medrol,sɑːluː mɛdɹɑːl,solumedɾol,neo medrol,niːoʊ mɛdɹɑːl,neomedɾol,0
neratinib,nɛɹɐtɪnɪb,neɾatinib,gefitinib,dʒɛfɪtɪnɪb,gefitinib,0
amphotec,æmfoʊɾək,ʔamphotek,amvuttra,æmvʌtɹə,ʔamvwttɾa,0
sinemet,saɪnmɪt,sinemet,sine aid ib,saɪn eɪd ɪb,sineʔaidʔib,0
ephedrine,ɛfɪdɹiːn,ʔephedɾine,epinephrine,ɛpɪnɛfɹiːn,ʔepinephɾine,1
glucotrol,gluːkətɹɑːl,glukotɾol,glycotrol,glaɪkətɹɑːl,glikeotɾol,1
captopril,kæptɑːpɹəl,kaptopɾil,carvedilol,kɑːɹvɪdɪlɑːl,kaɾvedilol,1
levbid,lɛvbɪd,levbid,evdi,ɛvdi,ʔevdiʔ,0
venofer,vɛnoʊfɚ,venofeɾ,vimpat,vɪmpæt,vimpat,1
alomide,ɐlɑːmaɪd,ʔalomide,cetamide,sɛɾɐmaɪd,ketamide,0
kay ciel,keɪ siːl,kajsjel,kaon cl,keɪɑːn siːɛl,kaʔonkl,0
tequin,tɛkwɪn,tekin,teczem,tɛkzəm,tekzem,0
reminyl,ɹɪmɪnaɪl,ɾeminjl,robinul,ɹɑːbɪnʌl,ɾobinul,1
restoril,ɹɪstoːɹəl,ɾestoɾil,nutrestore,nʌtɹɪstoːɹ,nutɾestoɾe,0
ventolin hfa,vɛntəlɪn eɪtʃɛfeɪ,ventolinhfa,ventolin rotacaps,vɛntəlɪn ɹoʊɾɐkæps,ventolinɾotakaps,0
tromethamine,tɹoʊmθɐmiːn,tɾomethamine,prometh plain,pɹoʊmiːθ pleɪn,pɾometplaʔin,0
fluoxetine,fljuːəksɛtiːn,fluʔoksetine,paroxetine,pæɹəksɛtiːn,paɾoksetine,1
cefoxitin,sɛfəksɪtɪn,kefoksitin,ceftazidime,sɛftɐzɪdaɪm,keftasidime,1
testoderm tts,tɛstoʊdɜːm tiːtiːɛs,testodeɾmtʧ,testoderm with adhesive,tɛstoʊdɜːm wɪð ɐdhiːsɪv,testodeɾmwitʔadhesive,1
ethionamide,iːθɪɑːnɐmaɪd,ʔetjonamide,ethosuximide,iːθəsʌksɪmaɪd,ʔethosuksimide,1
novolin 70 30,nɑːvəlɪn sɛvənti θɜːɾi,novolin7030,novolog mix 70 30,nɑːvəlɑːg mɪks sɛvənti θɜːɾi,novologmiks7030,1
silodosin,saɪlədɑːsɪn,silodosin,lodosyn,lɑːdəsɪn,lodosjn,0
duricef,dʊɹɹaɪsəf,duɾjsef,ultracet,ʊltɹæsɪt,ʔultɾaket,1
alfentanil,ɐlfɛntɐnɪl,ʔalfentanil,albenza,ælbɛnzə,ʔalbensa,0
bicillin c r,baɪsɪlɪn siː ɑːɹ,bjsillinkɾ,v cillin,viː sɪlɪn,vkillin,0
adderall 15,ædɚɹɔːl fɪftiːn,ʔadɾol15,adderall 20,ædɚɹɔːl twɛnti,ʔadɾol20,0
tetanus diptheria toxoid,tɛtənəs dɪpθɜːɹiə tɑːksɔɪd,tetanusdiptheɾiatoksoid,tuberculin purified protein derivative,tuːbɚkjʊlɪn pjʊɹɹɪfaɪd pɹoʊtiːn dɪɹɪvətɪv,tubeɾsulinpuɾifiʔedpɾotejndeɾivative,1
serzone,sɜːzoʊn,seɾsone,kerlone,kɜːloʊn,keɾlone,0
azacitidine,æzɐsɪɾɪdiːn,ʔasasjtidine,azathioprine,æzɐθɪɑːpɹiːn,ʔasathiopɾine,1
volumen,vɑːljuːmɛn,volumen,voluven,vɑːluːvən,voluven,1
folex,foʊlɛks,foleks,foltx,foʊltɛks,foltks,1
levetiracetam,lɛvɪtɜːɹɐsɛɾæm,levetiɾaketam,levofloxacin,lɛvəflɑːksɐsɪn,levofloksasjn,1
influenza virus vaccine,ɪnfluːɛnzə vaɪɹəs væksiːn,ʔinflujsaviɾusvakʔineʔ,perflutren lipid microspheres,pɜːflʌtɹən lɪpɪd maɪkɹoʊsfɪɹz,peɾflutɾenlipidmikɾospheɾes,1
tambocor,tæmbɑːkɚ,tambokoɾ,tembexa,tɛmbɛksə,tembeʔksaʔ,0
novolin,nɑːvəlɪn,novolin,norlutin,noːɹluːtɪn,noɾlutin,0
matulane,mætʃəleɪn,matulaneʔ,anturane,æntʃɚɹeɪn,ʔantuɾaneʔ,0
fludrocortisone acetate,flʌdɹəkɔːɹɾɪsoʊn æsɪteɪt,fludɾokoɾtisoneʔaketate,lanreotide acetate,lænɹɪɑːɾaɪd æsɪteɪt,lanɾeotideʔaketate,0
capex,keɪpɛks,kapeks,kapidex,kæpaɪdɛks,kapidjks,1
sudafed,suːdeɪft,sudafed,sudafed pe,suːdeɪft piː,sudafedpe,1
ropivacaine,ɹɑːpɪveɪkeɪn,ɾopivakaʔineʔ,alphacaine,ælfəkeɪn,ʔalphakaʔineʔ,0
mephyton,mɛfɪtən,mephjton,methadone,mɛθɐdoʊn,methadone,1
penicillin,pɛnɪsɪlɪn,penisillin,pentoxifylline,pɛntəksɪfɪlaɪn,pentoksjfjlline,0
nicardipine,nɪkɑːɹdɪpaɪn,nikaɾdipine,nimodipine,nɪmədɪpaɪn,nimodipine,1
vesicare,vɛsɪkɛɹ,vesikaɾe,ticar,tɪkɑːɹ,tikaɾ,0
rasageline,ɹæseɪdʒlaɪn,ɾasageline,repaglinide,ɹɪpæglɪnaɪd,ɾepaglinide,1
tradjenta,tɹædʒɛntə,tɾadʤenta,trulicity,tɹuːlɪsɪɾi,tɾuljsitj,1
opium tincture,oʊpiəm tɪŋktʃɚ,ʔopiʔumtinktuɾe,paregoric,pɛɹgɔːɹɪk,paɾegoɾajs,1
soriatane,soːɹɪæteɪn,soɾjataneʔ,soaanz,soʊænts,soʔaʔans,0
ketorolac,kɛɾoːɹɑːlæk,ketoɾolak,etodolac,ɛɾədɑːlæk,ʔetodolak,0
norlestrin 21 1 50,noːɹlɪstɹɪn twɛnti wʌn wʌn fɪfti,noɾlestɾin21150,norlestrin fe 1 50,noːɹlɪstɹɪn fiː wʌn fɪfti,noɾlestɾinfe150,0
briviact,bɹɪvɪækt,bɾivjakt,revia,ɹɪvɪə,ɾevja,0
tresiba,tɹɛzɪbə,tɾesiba,yutrepia,juːtɹiːpiə,jutɾepiaʔ,0
neupogen,nuːpədʒən,neupogen,neoprofen,niːoʊpɹoʊfən,neopɾofen,0
metronidazole,mɛtɹənɪdɐzoʊl,metɾonidasole,metro iv,mɛtɹoʊ ɹoʊmən foːɹ,metɾoʔiv,0
unipres,juːnɪpɚz,ʔunipɾes,uniretic,juːnɪɹɛɾɪk,ʔuniɾetik,0
intuniv,ɪntuːnɪv,ʔintuniv,invega,ɪnviːgə,ʔinvega,1
ribavirin,ɹɪbɐvɪɹɪn,ɾibaviɾin,riboflavin,ɹɪbəflævɪn,ɾiboflavjn,1
metadate cd,mɛɾədeɪt siːdiː,metadatekd,metadate er,mɛɾədeɪt ɜː,metadateʔeɾ,1
myleran,maɪlɚɹən,mjleɾan,pylera,paɪlɚɹə,pjleɾa,0
mitomycin,maɪɾəmaɪsɪn,mitomjsjn,mitoxantrone,maɪɾəksæntɹoʊn,mitoksantɾone,1
antivert,æntɪvɜːt,ʔantiveɾt,axert,æksɚt,ʔakseɾt,1
ditropan,dɪtɹəpæn,ditɾopan,zioptan,zɪɑːptən,zioptan,0
cefazolin,sɛfɐzɑːlɪn,kʔefasolin,ceftazidime,sɛftɐzɪdaɪm,keftasidime,1
klonopin,klɑːnəpɪn,klonopin,oncovin,ɑːŋkəvɪn,ʔonkovjn,0
clozaril,klɑːzɑːɹɹəl,klosaɾil,colazal,kɑːlæzəl,kolasal,1
babybig,beɪbɪbɪg,babjbig,hbig,eɪtʃbɪg,hbig,1
lanorinal,lænoːɹɪnəl,lanoɾinal,norinyl,noːɹɪnaɪl,noɾinjl,0
foradil,fɔːɹɐdɪl,foɾadil,tofranil,tɑːfɹɐnɪl,tofɾanil,0
bacitracin zinc and polymyxin b sulfate,bæsɪtɹæsɪn zɪŋk ænd pɑːlɪmɪksɪn biː sʌlfeɪt,bakitɾasjnzkʔandpoljmjksinbsulfate,bacitracin zinc neomycin sulfate polymyxin b sulfate,bæsɪtɹæsɪn zɪŋk niːoʊmaɪsɪn sʌlfeɪt pɑːlɪmɪksɪn biː sʌlfeɪt,bakitɾasjnzkneomjsjnsulfatepoljmjksinbsulfate,0
ritalin,ɹɪɾɐlɪn,ɾitalin,ritodrine,ɹɪɾədɹiːn,ɾitodɾine,1
adacel,ɐdeɪsəl,ʔadakel,daptacel,dæpteɪsəl,daptakel,1
tanzeum,tænziːəm,tansjum,trulicity,tɹuːlɪsɪɾi,tɾuljsitj,1
migalastat,mɪgɐlæstæt,migalastat,miglustat,mɪgləstæt,miglustat,1
dalvance,dælvəns,dalvejnkeʔ,glucovance,gluːkɑːvəns,glukovankeʔ,0
valacyclovir,vælɐsaɪkləvɪɹ,valasikelovjɾ,valganciclovir,vælgɐnsɪkləvɪɹ,valgansjslovjɾ,1
bicitra,baɪsɪtɹə,bjsitɾa,polycitra,pɑːlɪsɪtɹə,poljsitɾa,1
darbid,dɑːɹbɪd,daɾbid,varubi,vɑːɹɹuːbaɪ,vaɾubi,0
humalog,hjuːmɐlɑːg,humalog,novolog,nɑːvəlɑːg,novolog,1
orgaran,ɔːɹgæɹən,ʔoɾgaɾan,orgatrax,ɔːɹgɐtɹæks,ʔoɾgatɾaks,0
pyridoxine,pɪɹɪdɑːksaɪn,pjɾidoksʔineʔ,pyocidin,paɪəsɪdɪn,pjosidin,0
sertraline,sɜːtɹəlaɪn,seɾtɾaline,deltalin,dɛltɐlɪn,deltalin,0
zonegran,zoʊŋgɹən,zonegɾan,zonalon,zoʊnælən,zonalon,0
aciphex,ɐsɪfɛks,ʔasipʤks,adipex p,ædaɪpɛks piː,ʔadipeksp,0
ammonium chloride in plastic container,æmoʊniəm kloːɹaɪd ɪn plæstɪk kənteɪnɚ,ʔammonjumʧloɾideʔinplastikkontaʔineɾ,theophylline and dextrose 5 in plastic container,θiːəfɪlaɪn ænd dɛkstɹoʊz faɪv ɪn plæstɪk kənteɪnɚ,theophjllineʔanddekstɾose5ʔinplastikkontaʔineɾ,0
clonazepam,klɑːneɪzpæm,klonasepam,lorazepam,loːɹeɪzpæm,loɾasepam,1
avinza,ævɪnzə,ʔavsa,evista,ɪvɪstə,ʔevista,1
acetated ringer s in plastic container,æsɪteɪɾɪd ɹɪŋɚɹ ɛs ɪn plæstɪk kənteɪnɚ,ʔaketatedɾiŋeɾsʔinplastikkontaʔineɾ,perikabiven in plastic container,pɛɹɪkæbɪvən ɪn plæstɪk kənteɪnɚ,peɾikabivenʔinplastikkontaʔineɾ,0
activase,æktɪveɪs,ʔaktivase,cathflo activase,kæθfloʊ æktɪveɪs,katfloʔʔaktivase,1
hydrochlorothiazide,haɪdɹəkloːɹoʊθɪeɪzaɪd,hjdɾoʧloɾothiʔazide,reserpine and hydrochlorothiazide 50,ɹɪsɜːpaɪn ænd haɪdɹəkloːɹoʊθɪeɪzaɪd fɪfti,ɾeseɾpineʔandhjdɾoʧloɾothiʔazide50,0
cabenuva,keɪbnuːvə,kabenuva,abreva,ɐbɹɛvə,ʔabɾeva,0
depocyt,dɪpɑːsɪt,depokjt,duvyzat,dʌvɪzæt,duvjsat,0
haloperidol intensol,heɪloʊpɹɪdɑːl ɪntɛnsɑːl,halopeɾidolʔintensol,prednisone intensol,pɹɪdnɪsoʊn ɪntɛnsɑːl,pɾednisoneʔintensol,0
miglustat,mɪgləstæt,miglustat,monistat,mɑːnɪstæt,monistat,0
provera,pɹɑːvɚɹə,pɾoveɾa,prozac,pɹɑːzæk,pɾosak,1
clindesse,klɪndɛs,klindesse,clindets,klɪndɪts,klindeʧ,1
methimazole,mɛθɪmæzoʊl,methimasole,betimol,bɪtɪmɑːl,betimol,0
estratest,ɛstɹeɪtɪst,ʔestɾatest,strattera,stɹæɾɚɹə,stɾatteɾa,0
dabigatran,dæbɪgætɹæn,dabigatɾan,vigabatrin,vɪgɐbætɹɪn,vigabatɾin,1
tromethamine,tɹoʊmθɐmiːn,tɾomethamine,trophamine,tɹɑːfɐmiːn,tɾophamine,1
tecvayli,tɛkveɪli,tekvajliʔ,zevalin,zɛvɐlɪn,zevalin,0
hydralazine,haɪdɹɐlæziːn,hjdɾalasʔineʔ,hydroxyzine,haɪdɹɑːksɪziːn,hjdɾoksjzine,1
humalog,hjuːmɐlɑːg,humalog,humulin,hjuːmjʊlɪn,humulin,1
bio t gel,baɪoʊ tiː dʒɛl,biotgel,t gel,tiː dʒɛl,tgel,1
cefoxitin,sɛfəksɪtɪn,kefoksitin,capecitabine,keɪpsɪtæbaɪn,kapesitabine,0
tresiba,tɹɛzɪbə,tɾesiba,trusopt,tɹuːsɑːpt,tɾusopt,0
ketalar,kɛɾælɚ,ketalaɾ,ketorolac,kɛɾoːɹɑːlæk,ketoɾolak,1
wellbutrin sr,wɛlbjuːtɹɪn ɛsɑːɹ,welbutɾinsɾ,wellbutrin xl,wɛlbjuːtɹɪn ɛksɛl,welbutɾinksl,1
docetaxel,doʊstæksəl,doketaksel,cetraxal,sɛtɹæksəl,ketɾaksal,0
brilinta,bɹɪlɪntə,bɾilinta,briellyn,bɹiːlɪn,bɾieljn,0
acebutolol hydrochloride,ɐsɛbjuːtɑːlɑːl haɪdɹəkloːɹaɪd,ʔakebutololhjdɾoʧloɾide,proparacaine hydrochloride,pɹəpæɹɐkeɪn haɪdɹəkloːɹaɪd,pɾopaɾakaʔineʔhjdɾoʧloɾide,0
methazolamide,mɛθeɪzɑːlɐmaɪd,methasolamide,metozolv odt,mɛɾəzɑːlv ɑːt,metosolvʔodt,0
saquinavir,sækwɪnævɪɹ,sakinavjɾ,saquinavir mesylate,sækwɪnævɪɹ mɛsɪleɪt,sakinavjɾmesjlate,1
medroxyprogesterone,mɛdɹəksɪpɹoʊdʒstɚɹoʊn,medɾoksjpɾogesteɾone,methylprednisolone,mɛθəlpɹɛdnɪsɑːloʊn,methjlpɾednisolone,1
leucovorin calcium,luːkəvoːɹɪn kælsiəm,leukovʔoɾinkalsjum,leukeran,luːkɚɹən,leukeɾan,1
procanbid,pɹɑːkɐnbɪd,pɾokanbid,praxbind,pɹæksbaɪnd,pɾaksbind,0
lorazepam,loːɹeɪzpæm,loɾasepam,lovaza,lʌvɑːzə,lovasa,1
pazopanib,pæzəpænɪb,pasopanib,ponatinib,pɑːnɐtɪnɪb,ponatinib,1
precare,pɹɪkɛɹ,pɾekaɾe,predair,pɹɪdɛɹ,pɾedajɾ,0
ceftazidime,sɛftɐzɪdaɪm,keftasidime,tazidime,tæzɪdaɪm,tasidime,0
triavil 2 25,tɹaɪævəl tuː twɛnti faɪv,tɾiʔavjl225,triavil 4 10,tɹaɪævəl foːɹ tɛn,tɾiʔavjl410,0
aldara,ɔːldɑːɹɹə,ʔaldaɾaʔ,alora,ɐloːɹə,ʔaloɾa,1
methylene blue,mɛθɪliːn bluː,methjleneblue,visionblue,vɪʒənbluː,visjonblue,1
varivax,vɑːɹɹɪvæks,vaɾivejks,vzig,viːzɪg,vzig,1
mitomycin,maɪɾəmaɪsɪn,mitomjsjn,seromycin,sɛɹəmaɪsɪn,seɾomjsjn,0
doxil,dɑːksɪl,doksil,noxafil,nɑːksɐfɪl,noksafil,0
triavil 4 10,tɹaɪævəl foːɹ tɛn,tɾiʔavjl410,triavil 4 25,tɹaɪævəl foːɹ twɛnti faɪv,tɾiʔavjl425,0
lithium,lɪθiəm,lithiʔum,ultram,ʌltɹæm,ʔultɾam,1
apresoline,æpɹeɪɑːliːn,ʔapɾesoline,priscoline,pɹɪskəliːn,pɾiskoline,1
fomepizole,foʊmpɪzoʊl,fomepisole,omeprazole,oʊmpɹɐzoʊl,ʔomepɾasole,1
alfuzosin hydrochloride,ɐlfjuːzəsɪn haɪdɹəkloːɹaɪd,ʔalfusosinhjdɾoʧloɾide,lorcaserin hydrochloride,loːɹkɐsɚɹɪn haɪdɹəkloːɹaɪd,loɾkaseɾinhjdɾoʧloɾide,0
tegretol,tɛgɹɪtɑːl,tegɾetol,tequin,tɛkwɪn,tekin,1
cefuroxime,sɛfjʊɹɹɑːksaɪm,kefuɾoksime,furoxone,fjʊɹɹəksoʊn,fuɾoksone,0
zelapar,zɛlɐpɑːɹ,zelapaɾ,zepatier,zɛpəɾiɚ,zepatjeɾ,0
volumen,vɑːljuːmɛn,volumen,vumon,vjuːmən,vumon,0
glycotrol,glaɪkətɹɑːl,glikeotɾol,glycoprep,glaɪkəpɹɛp,glikeopɾep,0
leukeran,luːkɚɹən,leukeɾan,levulan,lɛvjʊlæn,levulan,0
prandin,pɹændɪn,pɾandin,asendin,æsəndɪn,ʔasendin,0
humulin r u 100,hjuːmjʊlɪn ɑːɹ juː wʌnhʌndɹɪd,humulinɾʔu100,humulin r u 500,hjuːmjʊlɪn ɑːɹ juː faɪvhʌndɹɪd,humulinɾʔu500,1
myleran,maɪlɚɹən,mjleɾan,mylaxen,maɪlæksən,mjlaksen,0
mitoxantrone,maɪɾəksæntɹoʊn,mitoksantɾone,mtx patch,ɛmtiːɛks pætʃ,mtkspaʧ,1
oxaprozin,ɑːksɐpɹɑːzɪn,ʔoksapɾozin,oxcarbazepine,ɑːkskɑːɹbeɪzpaɪn,ʔokskaɾbasepine,1
razadyne,ɹæzɐdaɪn,ɾasadjne,rozerem,ɹoʊzɹəm,ɾozeɾem,1
valtrex,væltɹɛks,valtɾeks,halotex,heɪloʊtɛks,haloteks,0
abacavir dolutegravir lamivudine,æbɐkævɪɹ dɑːluːtɛgɹɐvɪɹ læmɪvjuːdiːn,ʔabakavjɾdolutegɾavjɾlamivudine,dolutegravir and lamivudine,dɑːluːtɛgɹɐvɪɹ ænd læmɪvjuːdiːn,dolutegɾavjɾʔandlamivudine,0
terbinafine,tɜːbɪnæfaɪn,teɾbinafine,terbutaline,tɜːbjuːɾəlaɪn,teɾbutaline,1
mefoxin in dextrose 5 in plastic container,mɛfəksɪn ɪn dɛkstɹoʊz faɪv ɪn plæstɪk kənteɪnɚ,mefoksinʔindekstɾose5ʔinplastikkontaʔineɾ,mefoxin in sodium chloride 09 in plastic container,mɛfəksɪn ɪn soʊdiəm kloːɹaɪd ziəɹoʊ naɪn ɪn plæstɪk kənteɪnɚ,mefoksinʔinsodjumʧloɾide09ʔinplastikkontaʔineɾ,0
freamine hbc 69,fɹiːmaɪn eɪtʃbiːsiː sɪksti naɪn,fɾeaminehbk69,freamine iii 85,fɹiːmaɪn ɹoʊmən θɹiː eɪɾi faɪv,fɾeamineʔiʔiiʔ85,0
jantoven,dʒæntoʊvən,ʤantoven,jeanatope,dʒiːnɐtoʊp,ʤeʔanatope,0
cometriq,kəmɛtɹɪk,kometɾik,myrbetriq,mɪəbɛtɹɪk,mjɾbetɾik,0
ado trastuzumab emtansine,ɐduː tɹæstuːzjuːmæb ɛmtænsaɪn,ʔadotɾastusumabʔemtansine,trastuzumab,tɹæstuːzjuːmæb,tɾastusumab,1
seroquel,sɛɹɑːkwəl,seɾokel,sarisol,sɑːɹɹɪsɑːl,saɾisol,0
penetrex,pɛnɪtɹɛks,penetɾeks,phenytex,fɛnaɪtɛks,phenjteks,0
tiamate,tiːəmeɪt,tiʔamate,topiramate,tɑːpɚɹæmeɪt,topiɾamate,0
