cefudec,cefudex,cefufer,cefuget,cefuker,cefumed,cefured,cefurex,cefusea,cefutex,cefuvex,cefuzel,cefuzen
beisartan,besartan,gensartan,leesartan,melsartan,neosartan,newsartan,telsartan,versartan,welsartan
bezogen,cefogen,fenogen,ferogen,hemogen,ketogen,levogen,renogen,senogen,vesogen
cefarex,cefavex,cefazex,cefevex,cefovex,ceftrex,cefudex,cefurex,cefutex,cefuvex
cefulab,cefulax,cefumac,cefumax,cefupak,cefurax,cefutam,cefutaz,cefuxal,cefuxan
ketohab,ketolac,ketoman,ketomax,ketonav,ketorac,ketoran,ketosan,ketoxam,ketozar
cefarex,ceftrex,cefudex,cefurax,cefured,cefurex,cefurox,cefutex,cefuvex
geoxime,kelxime,kepxime,medxime,newxime,penxime,seaxime,terxime,zenxime
hydrobet,hydroden,hydrodex,hydrofer,hydromel,hydropel,hydroper,hydrovex,hydrozen
ketocid,ketodix,ketofix,ketolit,ketomin,ketomix,ketotif,ketovid,ketoxil
ketodol,ketojos,ketolon,ketonob,ketonol,ketonov,ketotop,ketoxol,ketozol
lavoxin,lefoxin,levocin,levofin,levorin,levotin,levoxid,levoxin,levoxina
parabam,parajaz,paramax,paranat,parasan,paratam,paraway,paraxam,parazar
paradex,parafer,paragen,parajen,paralex,paramed,paraver,parazel,parazen
tazobet,tazodec,tazofed,tazogen,tazoget,tazonex,tazopen,tazovee,tazovex
astagen,bitagen,butagen,catagen,cutagen,optagen,sitagen,vitagen
cefaden,cefagen,cefazen,cefegen,cefiden,cefigen,cefogen,cefuzen
cefudex,cefulax,cefumax,cefurax,cefurex,cefurox,cefutex,cefuvex
ciprobay,ciprojaz,ciprolax,cipromar,cipromax,cipronat,ciprosan,ciprotam
ketobet,ketoden,ketogen,ketolex,ketomed,ketonep,ketorex,ketovex
ketoden,ketogen,ketojun,ketolon,ketoman,ketomin,ketoran,ketosan
levobet,levocec,levocer,levogen,levomed,levomef,levores,levoxel
levocin,levocit,levofin,levorin,levoriz,levotin,levoxid,levoxin
acetadol,betadol,cetadol,cetamol,cetodol,cetradol,ketadol
aeprazole,esprazole,geoprazole,giprazole,goprazole,peprazole,zeprazole
aeprazole,esprazole,giprazole,goprazole,peprazole,viprazole,zeprazole
aeprazole,mepazole,meprazol,omeprazole,peprazole,qmeprazole,zeprazole
aviclav,axiclav,haiclav,mabiclav,paxiclav,raniclav,rapiclav
axiclav,coxiclav,goxiclav,paxiclav,roxiclav,vexiclav,voxiclav
betadol,betasol,cetadol,cetamol,ketadol,ketarol,retazol
cefaden,cefagen,cefamed,cefarex,cefavex,cefazen,cefazex
cefagen,cefegen,cefigen,cefogen,mefegen,sef3gen,zefegen
cefamed,cefdomed,cefpomed,ceframed,cefrimed,ceftamed,cefumed
cefarex,ceftrex,ceftrix,ceftrox,cefurax,cefurex,cefurox
cefazex,cefudex,cefurex,cefutex,cefuvex,cefuzel,cefuzen
cefotax,cefulax,cefumax,cefurax,cefutam,cefutaz,cefutex
cefuhil,cefumin,cefuvic,cefuvil,cefuvin,cefuxil,cefuxim
fadzole,haizole,jaczole,marzole,maxzole,panzole,ranzole
folicel,folifer,foligen,foliget,folijen,folimed,folimer
furoden,furogem,furogen,furomed,furonex,furoxen,furozep
ketodix,ketofix,ketolex,ketomax,ketomix,ketorex,ketovex
lavoxin,levocin,levofin,levorin,levotin,levoxin,lovorin
levocin,levofin,levorin,levoriz,levotin,levoxin,lovorin
muconil,mucopid,mucoriz,mucosil,mucosin,mucotil,mucovin
neurobe,neurofed,neurokem,neurolem,neurolev,neuromed,neuromet
neurobiz,neurocil,neurolin,neurolit,neuroliz,neurovit,neuroxin
nicarden,nicardin,nicargen,nicarpin,nicarsin,nicarson,nicarvin
aerolac,dyrolac,eurolac,marolac,sorolac,zirolac
azimit,azimor
azisaph,fazosaph
azitan,azitas
azithcare,azithcor
azithcor,azithrom
azithrom,azithromax
azithrx,azithva
azlo,azro
azmicin,aztocin
azmicin,cymicin
azopt,azost
azthrex,kathrex
aztocin,pantocin
aztocin,tazocin
aztram,aztrem
aztrocin,gastrocin
aztrocin,rytrocin
aztrocin,zarocin
b1bloc,h2bloc
bacefaz,bacefur
bacefaz,rabefaz
bacefime,bacxime
bacimex,bactrex
bacimex,bacxime
bacimex,kalimex
bacipro,brucipro
bacipro,ramipro
bacracil,tazracil
bactacare,betacare
bactamed,bactromed
bactan,bactaz
bactezole,bactizole
bacticare,bacticide
bacticare,bactigard
bacticef,bactier
bacticef,bactricef
bacticide,bacticin
bacticide,bactixime
bacticin,bactillin
bacticin,bactinil
bacticon,bactrigon
bactidol,bactizole
bactigent,bactinext
bactillin,baczillin
bactisul,bactosun
bactixime,bactroxime
bactixime,bacxime
bactofix,bactopic
bactofix,bactrodix
bactosun,lactosan
bactreat,bactrex
bactreat,bactrias
bactrex,bactrexin
bactroban,bactrofar
bactroban,batriban
bactrofar,bactrostar
bactroxime,macroxime
bacxime,bhecxime
bacxime,bioxime
bacxime,macxime
baczin,zaczin
baczone,jaczole
baczone,lactone
bagogem,bagoxed
bantopraz,pantopraz
bapicrem,topicrem
baplatin,ebeplatin
barcef,bercef
barudon,saridon
batriban,natriban
baxolyn,maxolin
bazicort,ranicort
beisol,brizol
belavit,rolavit
belavit,xelavir
belcetra,kelcitra
belizar,betazar
bellazole,elbazole
beluxan,cefuxan
beluxan,relaxan
bemefor,demetor
benadrex,benadryl
benadrex,bensarex
benaxil,fenaxin
bendaget,bendared
bendaget,ondaget
bendared,bensarex
bendipine,kenzipine
benedex,benefix
benedex,bonedef
benedex,penodex
benefit,benefix
benflam,neoflam
benjasol,betasol
bensarex,bisarex
benzoderm,benzoper
benzoderm,betnoderm
berafen,teragen
berapraz,berapred
berapred,betpred
berapred,orapred
beraxime,buenaxime
bercef,betcef
bercef,ercef
bertram,bortrac
bertram,hertraz
berzimax,fertimax
bestatin,dystatin
bestatin,estamin
bestatin,meslatin
bestdazole,bestprazole
bestine,betzine
bestine,destone
bestine,heltine
bestine,restime
bestprazole,esprazole
besymed,betamed
betacard,metocard
betacare,betacrem
betacare,betavate
betacert,ketacent
betaderm,betnoderm
betadex,vitadex
betadine,betzine
betadine,butasine
betadine,etamine
betadine,zetadone
betalbee,betalex
betalex,fentalex
betalex,ketolex
betalex,zefalex
betam,bettam
betam,bezam
betam,butam
betam,setam
betamed,betpred
betamed,ibutamed
betamed,ketomed
betamox,britamox
betasol,hemasol
betavasc,betavate
betavate,betnovate
betavert,retavent
beterub,seterus
betical,xenical
betnovate,ceenovate
betpred,cetired
betrol,bptrol
betrol,metrol
bett,vert
bettam,vertam
bettrix,biotrix
betzine,blazine
betzine,cetizine
bexil,hexol
bezam,bezom
bezogen,bezolin
beztin,buztin
bicam,bicom
bicam,ricam
bicapros,finapros
bicarbisaph,bicarsaph
bicardone,blicardene
bicarsaph,nicarsaph
bidox,bifix
bidox,gicox
bifix,gofix
bilax,bilex
bilecid,tigecid
bilex,biped
bimatop,imatrop
bimatop,nimotop
biocort,viscort
biodin,bioxib
biodol,biofil
biodol,niosol
biogenic,biogesic
biolac,biomac
biomib,bioxib
bionerv,pronerv
bionyst,geonyst
biopenem,bioprene
biophen,biosaphen
biopime,bioxime
biopime,bizapime
biopime,bonpime
biopred,biopril
biopril,biotrix
biopril,bisophil
bioquis,biotuss
biorose,biosone
biosaph,biosaphen
biosone,biosure
biosone,ilosone
bioster,bisosten
bioster,diosper
biotamol,fioramol
biotaz,piotaz
biotrix,boostrix
biotrix,clotrix
biotrix,giotrif
biotrix,midtrix
biotrix,nicotrix
bioxime,bisoxine
bioxime,nicoxime
biozinc,kidzinc
bisacod,bisocor
bisacod,vitacod
bisapro,ecsapro
bisarex,histarex
bisocor,vasocor
bisolab,bisolem
bisolvon,disolvon
bisophil,bleophil
bisoxine,cidoxine
bisoxine,visoline
bizataz,pizotaz
blefime,flexime
bleoace,bleocel
bleocel,bleomed
bleomed,levomed
bleophil,clophil
blicardene,blicarpine
blicarpine,nicarpine
blicid,bloxid
blifan,blifon
blifec,bligef
blifec,glivec
blifetaz,lifetan
blifon,bliron
bligef,bligem
blincocin,lincoxin
blinda,slinda
blineks,blineph
blokacid,loracid
blopress,clopres
blopress,gopress
bloxid,cloxid
bluecef,bluehep
bluecef,ildecef
bluemox,cluvmox
bluemox,lumemox
bomplex,domplux
bonamine,bonazin
bonazin,synazin
bonsenz,foxsenz
bonsenz,ginsenz
bonvits,bonviva
boricetam,tricetam
borzomib,zortomib
botox,gorox
brainolin,braiporin
brecare,predcare
brecare,uricare
breecort,broncort
breecort,budecort
breezol,brezole
brestane,cristane
brestane,emestane
brevalife,pregalife
brezole,rezole
bricalin,ritalin
bricor,tricor
brimaed,rimaped
britamox,rifamox
brodix,bronix
brodix,prodix
brofen,profen
brofoxin,broloxin
brofoxin,trefoxin
brolex,bromex
brolex,ibrolex
broloxin,urolosin
bromed,bromex
bromesaph,bromhexsaph
bromex,bromux
bromux,bronix
bronchofen,bronchomed
bronchofen,bronchovent
bronchomed,bronchomide
bronchomide,bronchonide
bronchosar,bronchoserv
bronchovent,broncocent
broncocil,broncolin
bronzine,burnzine
bronzine,fronzinc
brospec,rospec
broxan,broxin
broxilex,broxolex
broxilex,proxilev
broxin,proxin
broxoflem,broxolex
bucligen,buclimin
bucligen,mecligen
buclimin,buclivit
budecort,zudicort
budesma,budeson
budeson,budesone
budesone,budesonide
budesone,budesure
budesone,dubesone
budmed,bumed
bufacord,bupicord
bulcolax,buscomax
bupicord,buticod
bupidex,burinex
bupidex,elpidex
bupidex,fusidex
bupilon,rubilon
bupirey,bupiron
bupisaph,mupisaph
buradoc,curadec
buradoc,fusadoc
burinex,mucinex
burinex,suprinex
buscobet,buscomed
buscomax,buscomed
buscomax,buscopan
buscomed,mucomed
busid,fusid
buston,buztin
butacap,vitacap
butagen,butalyn
butam,dutam
butamol,butexol
butamol,dubamol
butamol,lutimol
caberline,caneline
cabxel,cabxol
cabxol,caxol
cafgard,nifgard
caftein,castein
calagen,calazin
calagen,halaven
calagen,kaligen
calamite,calmate
calazin,calyxin
calazin,catapin
calazin,celabin
calazin,clazine
calazin,dapazin
calazolv,catazol
calbornate,calcernate
calcie,calcip
calcilife,calcilyte
calcilife,calcipine
calcilyte,calcimate
calcimed,calsimet
calcimed,cardimed
calcimed,colchimed
calcimed,zalimed
calcisan,calcisaph
calcisan,calcivas
calcisaph,calmsaph
calmate,clomate
calmsaph,capasaph
calmsaph,coldsaph
calnovit,ceenovit
calnovit,sannovit
caloderm,calziderm
caloderm,closderm
caloderm,halodem
calpine,cildine
calprem,valprex
calta,caltab
calzc,calzi
camusten,canesten
candegen,capegen
candelife,caneline
candephil,cardiphil
candez,cardez
candina,sandine
canelin,caneline
canelin,canexil
canelin,capebin
canelin,navelin
canem,xanem
caneschem,daneschem
canesten,clonesten
canexil,caxetil
canexil,cefexil
canexil,farexil
canexil,ranexid
canisar,canison
canisar,clavisar
canisar,mabisar
capebin,capmerin
capeceen,capegen
capegen,lopegen
capemed,rabemed
capomed,hypomed
capomed,napromed
captophil,ciprophil
captoprix,pantoprix
carbabene,carbacent
carbacent,paracent
carbezin,carezyn
carblax,carbonax
carblax,carimax
carblax,curelax
carbobil,carbotin
carbofon,carbonoc
carbogen,cardigen
carboget,karbonet
carbomux,carbumox
carbonax,carbonoc
carbonax,carbovan
carbotin,carbotinol
carbumox,cavumox
carbumox,harbimox
cardamin,lordamin
cardea,cardez
cardemef,caresef
cardez,cardoz
cardigen,cortigen
cardilol,carvidol
cardimed,carpime
cardin,cardob
cardiopamine,cardiotamine
cardiosel,cardiosim
cardiosine,cardivine
cardiostat,cordistat
cardiostat,kardiostan
cardiovasc,cardivasc
cardiwon,cardowin
cardizar,cardizef
cardob,cardoz
cardoxin,fargoxin
caresef,carezee
caresef,carisen
caresef,marecef
carezee,carezyn
carimax,paramax
carimax,varivax
carin,cerin
carpime,terpime
cartin,cartine
cartin,cortin
cartine,cartinex
cartine,harline
carvast,korvast
carvast,ranvast
carvedil,carvidol
carvidol,karvidol
caryl,claryl
caryl,daryl
casodex,faslodex
casodex,nasonex
caspin,vaspin
cassavent,cistavent
cassavent,nassavent
castein,cisteen
castra,cistra
catafen,diatafen
catafen,tanafen
catagen,natalgen
catalan,cetavan
catalan,coralan
catania,catapin
catapin,cetamin
catazol,mamazol
catazol,natrazol
catazol,patanol
caxetil,goxetil
caxetil,laxedil
ceclobid,cycloxid
ceclofam,celofem
ceclofam,diclofam
ceclor,ceflor
cecon,vexon
cecoxia,celcoxib
cecrocef,jectocef
cedine,cexime
cedine,cidine
cedix,cefux
cedix,cerox
ceefait,cefavit
ceenovate,ceenovit
ceenovate,cleovate
ceenovit,zeepovit
ceeprazol,meprazol
ceeright,celeright
cefac,cefbac
cefacare,certcare
cefacare,infacare
cefagen,orfagen
cefakor,ceftakon
cefakor,cefuker
cefalin,ceflin
cefalin,cefralon
cefamed,efamed
cefarap,cetarad
cefarap,meferap
cefavex,cefavit
cefavit,cefoxit
cefavit,infavit
cefax,ceftax
cefax,cefux
cefax,cemax
cefax,cetaz
cefazoden,cefazovin
cefazoden,ceftaziden
cefazone,ceficzone
cefbac,defnac
cefdotab,cefmetab
cefedix,cefexil
cefegen,cefevex
cefekixime,cefixime
cefemarc,cefumac
ceffix,zeffix
cefiden,cefwide
cefiem,cefim
cefigen,cetirgen
cefim,cerin
cefim,cexim
cefimax,cefisan
cefipro,cefpuro
cefisan,cefixstan
cefisan,citisan
cefitome,cefixime
cefiwell,mefewell
cefixed,cefixneed
cefixed,cefoxid
cefixime,cefroxime
cefker,cefuker
cefled,ceflex
cefmed,cofmed
cefmed,fermed
cefmetab,mefetab
cefobact,levobact
cefogen,cefovex
cefogen,cefurogen
cefolic,cefuvic
cefonav,cefonov
cefonav,celenav
cefonov,cefozol
cefonov,cefunova
cefonov,ketonov
cefopsiv,cefopti
cefopsiv,ketopsiv
cefosenz,cefsenz
cefosenz,ketosenz
cefotax,ceftax
cefotax,zefotax
cefotaxsaph,cefoxsaph
cefovex,ketovex
cefovex,mefolex
cefoxiget,cefoxit
cefozol,cefuzel
cefphil,clophil
cefpuro,cefurox
cefreexime,cefroxime
cefriwind,cetriwin
cefromaxil,cefroxil
cefrone,medrone
cefroxil,cefroxime
cefroxil,zecroxil
cefroxime,centroxime
cefsukeer,cefuker
ceft,vert
ceftacent,ketacent
ceftakon,ceftazin
ceftamax,ceftamed
ceftanova,cefunova
ceftax,celtax
ceftaziden,ceftriden
ceftebas,ceftibac
ceftibac,ceftibet
ceftracon,ceftravin
ceftrex,hoftrex
ceftri,dectri
ceftri,geftri
ceftriace,ceftriamed
ceftriace,ceftriaxcel
ceftriace,ceftribac
ceftriasenz,ceftrisenz
ceftriaxcel,ceftriexcel
ceftribac,ceftridec
ceftriden,ceftrisenz
ceftrikids,cetrikid
ceftrina,cetrigna
ceftrirife,cetrilife
ceftris,referis
ceftrix,eftrix
ceftrixone,ceftrone
ceftrixone,enceftrixone
cefucirc,cefuvic
cefucy,cefury
cefufarm,cefufer
cefufarm,cefupharm
cefufarm,cefutam
cefufarm,zefifarm
cefufer,venufer
cefuhil,febuhil
cefulus,cefuplus
cefunova,celenova
cefuphil,febuphil
cefuprime,ceprime
cefurex,cefurexel
cefurex,feburex
cefurine,cetirine
cefurogen,furogen
cefuronix,furonix
cefuvast,cosuvast
cefuvex,zefuvee
cefuvin,mefevin
cefxifix,cefxitrix
cefzime,zerzime
celcarb,welcard
celcoxib,celcoxx
celcoxx,celecox
celdron,zeldiron
celecox,celecoxib
celecox,celekop
celecoxib,execoxib
celecure,celevue
celecure,ceticure
celecure,clacure
celecure,melocure
celeflam,meloflam
celehan,celehil
celehan,celenav
celehil,celethix
celemic,celerich
celemic,celermin
celenav,celenova
celenova,xerenova
celerich,celeright
celevid,celevue
celevid,xelevia
celevo,televo
celexib,terexib
celofem,kemofem
celoxone,cevoxine
celoxone,cifloxone
celoxone,cloxane
celoxone,geoxone
celplat,cloplat
celvit,cevit
cemax,femax
cemetol,demetor
cemoxi,comoxi
cencane,centrane
cencane,fencare
cendalex,cephalex
cendalex,fentalex
cenoron,fenocron
cenoron,tenolon
cenprahep,genpramep
centracid,gentacid
centracid,neutracid
centrane,centranor
centrane,contrave
centrapaz,centrapraz
centraz,centrex
centraz,hertraz
ceparin,nuparin
ceparin,reparil
cephalex,ephalox
cephoral,cephrad
cephrad,cepiram
cephrad,cetarad
cephrad,peptrad
cepimed,epimeds
ceplex,coplex
ceprime,kepxime
ceptrocin,zentrocin
cerelyte,cerezyme
cerin,cervin
cerin,feron
cerin,xerin
cerol,cerox
cerol,cetil
cerosan,ciprosan
certcare,cetricare
certcare,corticare
certcare,nervcare
certcare,ventcare
cervin,vercin
cetalert,cetalore
cetalert,cetanerv
cetamid,conamid
cetamin,cetavan
cetarad,cetavan
cetiair,pediair
ceticure,cetricare
ceticure,ketocure
ceticure,pepticure
cetikast,cetrikast
cetil,metil
cetirgen,cetirigen
cetirid,cetrikid
cetirigen,cetirivin
cetirigen,cotrigen
cetirigen,etorigen
cetirilife,cetrilife
cetirivin,cetriwin
cetizine,metrizine
cetizine,sitizine
cetradol,penradol
cetrasol,metrosol
cetrasol,natrasol
cetraxal,cetrival
cetricare,metrocare
cetrilife,erilife
cetrimax,cetrival
cetrimax,methimax
cetrinova,citinova
cetrinova,ferrinova
cetrinova,metronova
cetrival,cetrizil
cetrival,etorival
cetrizil,xefrizil
cetrocord,metrocor
cetrolix,cetrothix
cetrostal,letrostad
cetrothix,neurothix
cevit,cevita
cevit,levit
cevita,crevita
cevita,decita
cevoxine,cidoxine
cevoxine,sevoxane
cexim,cexime
cexim,texim
cexime,coxime
charlize,harline
chlorgen,clorgen
chlorolem,cholorolem
chlorsaph,chlorseth
choledeo,cholefen
cholefen,cholefix
cholefix,cholevit
cholevit,holivit
choltrol,control
cialis,dialix
ciclox,cyclox
ciclox,ociclox
cidine,cildine
cidine,cocine
cidine,midine
cidoxine,idexine
cifambic,vidambic
cikolin,cizolin
cildine,citrine
cildine,coldinex
cildine,sildine
ciloplot,cilopro
ciloplot,cloplat
cilopro,dilapro
cilopro,nicopro
ciloxan,ciploxac
ciloxan,cloxane
ciloxan,milovan
cilozia,cirozit
cimesaph,citisaph
cimesaph,timosaph
cimex,ximex
cinzitab,cititab
ciplife,ciplume
ciplife,cloplife
ciprobay,iprobac
ciprodex,luprodex
ciproflo,ciproflox
ciproflox,ciprolax
ciprogen,ciprogyl
ciprogyl,ziproxyl
ciprollen,cispollen
cipromax,pipzomax
cipromet,ciprovest
cipronova,ironova
ciprosan,ciprosave
ciprosan,nitrosan
ciprosenz,eprosenz
ciproson,diprosone
ciprotam,ciproted
cirab,curan
cirozit,mirovit
cisflem,cisflex
cisflex,xinflex
cisplaxil,cisplaxon
cistavent,cistovent
citapram,scitapram
citapram,zytapram
citicolex,citicollen
citimak,sitimax
citinova,optinova
citisan,citisaph
citisaph,vitasaph
cititab,colitab
citrine,citrinex
citrine,citriol
citrine,litaine
citriol,zitriol
citrucin,citruvit
citruvit,vitruvia
cizolin,lizolid
clabimen,clobimed
clabiza,clobila
clacure,clavocure
clacure,diacure
cladex,flarex
cladryl,claryl
cladryl,clodrel
clamovid,clamoxid
clamovid,flamavid
clapidz,clopida
claricort,clorifort
clarid,clariq
clarid,klarid
clarifix,clotrifix
clarimac,clarimid
clarion,clavron
clarithrocid,clarithromed
clarithromax,clarithromed
claritin,clavicin
clarituss,glaritus
claryl,claryn
clauden,clavugen
claventin,clavmentin
claventin,clovintin
clavic,clavin
clavic,claxic
clavic,flavix
clavic,klavic
clavicin,platicin
clavifarm,clavisar
clavimox,clavinyx
clavimox,gravimox
clavin,clavsin
clavisar,plavicar
clavixo,clovixa
clavmed,glaumed
clavmetz,flametz
clavmox,clavron
clavmoxwel,clavoxel
clavobac,clavomax
clavobac,clavubac
clavocure,clavxicure
clavogen,clavugen
clavomax,levomax
clavomex,clavoppex
clavoxel,clavuxel
clavoxel,levoxel
clavron,clavsin
clavsef,clavsin
clavsin,clavstan
clavstan,clavustan
clavubac,clavutec
clazol,clozol
clazol,plazol
cledomox,eleomox
cleocin,levocin
clevan,levan
clexane,cloxane
clfer,clofer
climaxin,clindaxin
clinamak,clinamet
clinamak,clindaman
clinamet,clindamit
clinamet,clinmed
clinamet,glinamet
clinbac,klinbac
clindacare,clindacure
clindacare,clindasave
clindacin,indacin
clindafer,klindaver
clindal,clindex
clindal,skindal
clindarene,klindarone
clindasaph,clindaseph
clindavest,clindavint
clinderm,clindex
clinderm,closderm
clindex,clinmed
clindex,klindex
clinmed,clinmyn
clintam,clintop
clintam,clottam
clintam,lintam
clipax,clitax
clircaf,clorcef
clizid,cloxid
clobechem,clopichem
clobesaph,globisaph
clobetor,clopitor
clobfred,clobimed
clobfred,clotfre
clobfred,klofred
clobon,clonin
clocel,clogel
clocel,floxel
clocephen,clofepen
clocephen,clophen
clodi,clodin
clodi,clomi
clodi,lodi
clodrel,clopidrel
clofefar,clofenad
clofefar,clopifar
clofenad,clofina
clofenad,lofenax
clofenova,clopinova
clofepen,drofepen
clogel,clogrel
clogrel,clogrix
clogrel,congrel
clomate,lomatec
clonigen,cloxipen
clonigen,conagen
clonipress,clotapress
clonisea,clonisur
clonisur,clopisure
clopate,cloplat
clophen,clophil
clophen,clopres
clophen,clorgen
clophil,diclophil
clophil,hyophil
clophil,melophil
clopicare,clopisure
clopicare,clovacare
clopicare,coxicare
clopicare,lopicard
clopida,clopidra
clopidogrel,clopidrel
clopidomed,clopimed
clopidra,clopidrel
clopidra,clopierra
clopilar,cloplat
clopinova,glipinova
clopiron,clopitor
clopitor,lipitor
cloplife,lopelife
clopres,lopres
cloprimed,cloprimide
cloracef,clorcef
clorcef,lorcef
clorgen,klorfen
clorgen,loragen
clormed,loramed
clostin,clotin
clotimax,ultimax
clotin,clotiz
clotribex,clotrigen
clotrigen,cotrigen
clovate,halovate
clovimax,clovixa
clovimed,flovomed
clovir,yclovir
clovirex,cloxarex
clox,colox
clox,flox
cloxacin,cloxakid
cloxacin,cloxapen
cloxacin,clozadin
cloxakid,clozakip
cloxane,florane
cloxapen,coxafen
cloxapen,floxagen
cloxapen,globapen
cloxarex,clozarem
cloxarex,floxavex
cloxarex,lorarex
cloxid,coxid
cloxiem,cloxim
cloxiem,cloxipen
cloxiem,droxiem
cloxim,eloxim
cloxin,coxin
cloxipen,lodipen
clozadin,clozakip
clozadin,olzadin
coamoximed,coamoxivet
cobax,obax
cobax,xovax
cobiokids,robikids
cobis,colis
cocilone,decilone
cocine,coxime
cofidec,cortidec
colate,folate
colchicare,colchicine
coldsaph,condesaph
coldsaph,zoledsaph
colife,copide
colife,folife
colimax,colitab
colimax,colymyx
colis,colox
colis,folid
colistat,cordistat
colitab,dolvitab
colox,comox
colvan,covan
combetzar,combizar
combifen,combigan
combifen,combiver
combigan,combikane
combikane,combinase
combikane,combizine
combimox,corbimax
combizar,cordizar
combizine,combizole
comfixime,cordixime
comfixime,omnixime
comox,comoxi
comox,cosmox
comox,gomox
complevac,complevit
complevit,complivit
comxicla,comxicura
conagen,coxafen
conagen,iconagel
conamid,konamed
conchoice,zolchoice
concore,cyscore
concore,pancore
concore,woncare
congestap,congestapp
congrel,control
congrel,lonarel
conjurin,conjuvon
contracid,cotrazid
contrahex,contrave
contrahex,doltrahex
contrahex,kontranex
control,goutrol
control,rentrol
coolex,coplex
copan,cospan
copan,covan
coplex,diplex
coranox,cowamox
coranox,loranix
corbamax,corbimax
corbix,cortix
corbizee,corvizem
corbizee,scorbzee
cordizar,cortizan
corlactone,golactone
corplet,norplat
corticare,coxicare
cortigen,cortillen
cortigen,cortizan
cortin,cortix
cortin,cortum
cortin,coxtin
cortipro,formipro
cortizan,cortizol
cortum,fortum
corvastin,sorvaztin
cosalon,cytalon
cosimetz,doximetz
cotrigen,cotripel
cotrimaxol,trimaxol
coufarin,coumadin
couxin,coxin
covelay,movelax
coveram,leveram
coxafen,noxifen
coxbutol,nobutol
coxcel,coxwel
coxibral,coxoral
coxibwell,coxxwell
coxicare,folicare
coxicare,moxicure
coxid,coxin
coxidia,moxidin
coxilife,doxolife
coxime,coximed
coxin,coxtin
coxin,coxyn
coxin,voxib
coxoral,zoloral
cozaar,lozaar
cozin,ozin
cozole,gozole
crestin,crestor
crestor,fredtor
crinone,tritone
cristane,cristin
crystacin,prostacin
cunox,finox
curafen,eurofen
curafol,durazol
curanerve,cyanerve
curanerve,paranerve
curelax,curemax
curelax,eprelax
cycamil,cycomin
cyclic,cyclox
cyclic,cylic
cyclomin,cycloxid
cyclomin,cycomin
cycloxid,syclopid
cycomin,vycocin
cyfrox,xyfrox
cyline,xylone
cymicin,cymycin
cynosal,zyvosal
cyntrex,rynorex
cyphocare,hyprocare
cytalon,cytaneon
cytalon,cytrakon
cytoace,ketoace
cyzole,fgzole
cyzole,myzole
dafadin,dapazin
dafadin,zefadin
dafcare,zefcare
daflozin,dafozein
daflozin,danlopin
daflozin,dyfloxin
daiglim,diaglim
dailyvasc,dilavasc
daivobet,daivonex
dalactin,dilantin
dalactin,fazactin
dalamax,dalamed
dalamax,paramax
dalamed,duvamed
dalamed,telamed
dalamycin,rabamycin
dalasave,parasave
damadol,femadol
damadol,mamazol
damusin,damuxin
damusin,tamulsin
danafer,danaset
danafer,magnafer
danafer,parafer
danafer,ranofer
danafer,tanafen
danafer,zinafer
danaplex,jagaplex
danaplex,zinaplex
danaset,danavit
danasone,dexasone
danavit,dapavid
dancee,daycee
danitin,dapotin
danitin,fenitin
danitin,ranitein
danitin,zanitine
dapafast,gabafast
dapavid,dapazin
dapavid,hepavid
dapazin,dapotin
dapazin,gapaxin
dapotin,haxotin
dasocort,drocort
dasocort,vasocor
daxotel,maxitel
dazomet,nanomet
dazomet,razomed
decamin,deculin
deciget,pemiget
decima,decita
decita,gecita
decodrin,decolsin
decolgen,decolsin
decolgen,dexollen
decolsin,deculin
dectri,dextro
delexofol,lexofol
demedin,dimerin
demetor,fenetor
demiclav,domiclav
denecort,dexacort
denecort,enocort
deoxysaph,doxysaph
depakene,depakote
dermabetasol,dermobetasol
dermacare,hemacare
dermaidcal,dermaidsal
dermazole,farmazole
dermazole,neomazole
dermovale,dermovate
desaren,desowen
deslodine,destadine
deslogen,diclogen
desotap,dexotab
desowen,dexofen
destone,mustone
destone,newtone
devetam,medetam
dexacort,dexticort
dexacort,metacort
dexahab,dexotab
dexameds,dexamet
dexamet,dexavit
dexamet,dopamet
dexaram,drexaral
dexasan,dexasone
dexasone,retasone
dexatobrin,dexatrin
dexatrin,dexatrol
dexatrin,dextein
dexatrin,doxatin
dexatrol,laxatrol
dexavit,hexavir
dexazel,gemazel
dexmed,dexmer
dexofen,dexollen
dexofen,dicofen
dexolife,doxolife
dexollen,doxollin
dexotab,lexotan
dexotab,melotab
dexproken,dextrogen
dextamin,dextein
dexton,reston
dextricyl,dextrocol
dextrogen,dextrophen
dextrogen,letrogen
dextromik,dextrovit
diacef,diacof
diacef,dincef
diacef,viacef
diaciel,diacil
diaclaz,diapraz
diacof,diacom
diacof,rizcof
diacoline,miracoline
diacure,diucare
diacure,fixcure
diacure,hikacure
diaflu,diflu
diaglim,limglim
diagliptin,dialiptin
diagliptin,tragliptin
diakon,dialin
dialin,dialix
dialix,dialox
dialix,diapid
dialomide,diamide
dialox,diclox
diameride,diamide
diamide,diatime
diamide,dilamine
diamide,dimide
diamide,diozide
diamide,docmide
diapid,diaxid
diaprax,diapraz
diasolv,diazole
diasolv,disolv
diastatin,dystatin
diastatin,jivastatin
diastop,spastop
diatafen,histafen
diatech,imatech
diatricef,natricef
diawell,dutawell
diawell,orawell
diazole,diazolid
diazolid,lizolid
diclofam,diclofed
diclofam,diclonac
