x_1,t_1,x_2,t_2,label
saphceetrate,sæfsiːtɹeɪt,saphtotrexate,sæftətɹɛkseɪt,1
hemosdin,hiːməsdɪn,hemoden,hiːmoʊdən,1
allutamide,ɐluːɾɐmaɪd,ramide,ɹæmaɪd,1
arpipo,ɑːɹpɪpoʊ,tapipzo 225,tæpɪpzoʊ tuːhʌndɹɪd twɛnti faɪv,1
zitabin 1000,zɪɾɐbɪn wʌn θaʊzənd,zita 100,ziːɾə wʌnhʌndɹɪd,1
gasmodic,gæzmɑːdɪk,gasmid,gæzmɪd,1
herperax,hɜːpɚɹæks,herpex newgen,hɜːpɛks nuːdʒən,1
vibee,vɪbiː,virbez,vɜːbɛz,1
voltaren forte,voʊltæɹən fɔːɹɾeɪ,voren forte,vɔːɹən fɔːɹɾeɪ,1
ikshatob,ɪkʃɐtɑːb,optob,ɑːptoʊb,1
clavtri 625,klævtɹi sɪkshʌndɹɪd twɛnti faɪv,lavtrim,lævtɹɪm,1
aerinex,ɛɹaɪnɛks,lewinex,luːaɪnɛks,1
ciprophil,sɪpɹəfɪl,ciproflo,sɪpɹɑːfloʊ,1
muldezar,mʌldɪzɑːɹ,idezar,aɪdzɑːɹ,1
c flam,siː flæm,fam c,fæm siː,1
flammasul,flæmæsəl,phamsul,fæmsəl,1
irbekon,ɜːbɛkən,irbenov 150,ɜːbənɑːv wʌnhʌndɹɪd fɪfti,1
metrex,miːɾɚks,mtrex,ɛmtɹɛks,1
esonex iv,ɛsoʊnɛks ɹoʊmən fɔːɹ,somex,sʌmks,1
vildalion m 550,vɪldæliən ɛm faɪvhʌndɹɪd fɪfti,vildalion 50,vɪldæliən fɪfti,1
axonedu,æksoʊnduː,axonex,æksoʊnɛks,1
stanxime,stæŋksaɪm,sanxib,sæŋksɪb,1
norphed,nɔːɹft,norpho,nɔːɹfoʊ,1
axonedu,æksoʊnduː,plaxone,plæksoʊn,1
perazovic,pɛɹɐzɑːvɪk,prazic,pɹeɪzɪk,1
guaifenesin dextromethorpan hydrobromide,gwɑːaɪfnɛsɪn dɛkstɹoʊmθɔːɹpæn haɪdɹəbɹoʊmaɪd,guaifenesin salbutamol,gwɑːaɪfnɛsɪn sælbjuːtæmɑːl,1
lamtac 25,læmtæk twɛnti faɪv,lamotrin odt 25,læmətɹɪn ɑːt twɛnti faɪv,1
nerveplex ae,nɜːvɪplɛks eɪiː,nervex,nɜːvɛks,1
gascopan,gæskəpæn,gascosin,gæskəsɪn,1
albestan,ælbɪstɑːn,besartan,bɪsɑːɹtən,1
cosimetz,kɑːsaɪməts,coxime,kɑːksaɪm,1
united home dermatec,juːnaɪɾɪd hoʊm dɜːmeɪɾək,dermovate,dɜːmuːveɪt,1
divalpro 125 sprinkles,dɪvælpɹoʊ wʌnhʌndɹɪd twɛnti faɪv spɹɪŋkəlz,akudiva 125 er,ækjuːdɪvə wʌnhʌndɹɪd twɛnti faɪv ɜː,1
vizef,vaɪzəf,viacef,vaɪəsɛf,1
aldopiem,ɔːldoʊpɪm,dopine,dɑːpaɪn,1
newmacdol,nuːmɐkdɑːl,fermacold,fɜːmɐkoʊld,1
biposaph g10,baɪpɑːsæf dʒiː tɛn,bilesaph ge300,baɪlɛsæf dʒiː θɹiːhʌndɹɪd,1
febsan 120,fɛbsən wʌnhʌndɹɪd twɛnti,febstat 80,fɛbstæt eɪɾi,1
vistachlor,vɪstɐklɔːɹɚ,diachloroz,daɪəklɔːɹoʊz,1
fisteride,fɪstɚɹaɪd,dutasteride,duːɾeɪstɹaɪd,1
rinobact spray,ɹɪnəbækt spɹeɪ,lysobact spray,laɪsəbækt spɹeɪ,1
neurocil,nʊɹɹəsɪl,nurocol,njʊɹɹəkɑːl,1
povistat,pɑːvɪstæt,pov it,pɑːv ɪt,1
vizef,vaɪzəf,dimzef,dɪmzɛf,1
param iv,pæɹəm ɹoʊmən fɔːɹ,medpara iv,mɛdpɑːɹɹɚ ɹoʊmən fɔːɹ,1
medglor 90,mɛdʒlɚ naɪnti,medgyl,mɛdʒɪl,1
kephazon s q,kɛfeɪzən ɛs kjuː,cozith s,kɑːzɪθ ɛs,1
mupivita,mjuːpɪviːɾə,mucovita,mjuːkəviːɾə,1
kalomin s,kæləmɪn ɛs,kremil s advance,kɹɛmɪl ɛs ɐdvæns,1
dia bplex,daɪə biːplɛks,dialexib,daɪəlɪksɪb,1
suncetin tab,sʌnsɪtɪn tæb,cetil,sɛɾɪl,1
puroxan,pjʊɹɹɑːksən,purogen,pjʊɹɹədʒən,1
berodual f udv,bɪɹɑːdʒuːəl ɛf ʌdv,betaroid,beɪɾɚɹɔɪd,1
aceamen 500,ɐsiːmɛn faɪvhʌndɹɪd,encorate chrono 500,ɛŋkɔːɹeɪt kɹoʊnoʊ faɪvhʌndɹɪd,1
alergiquit,ɐlɜːdʒɪkwɪt,erge,ɜːdʒ,1
fusidasol,fjuːsɪdæsɑːl,fusidane,fjuːsɪdeɪn,1
pantrex,pæntɹɛks,pantro,pæntɹoʊ,1
dypita 225,daɪpiːɾə tuːhʌndɹɪd twɛnti faɪv,ampita,æmpiːɾə,1
acode 200,ækoʊd tuːhʌndɹɪd,gemaccord 200,dʒɛmɐkɔːɹd tuːhʌndɹɪd,1
bomozid,bɑːməzɪd,terozid forte,tɛɹəzɪd fɔːɹɾeɪ,1
relidomide 15,ɹɪlɪdəmaɪd fɪftiːn,relidomide 5,ɹɪlɪdəmaɪd faɪv,1
peptobloc,pɛptəblɑːk,pantoloc,pæntəlɑːk,1
celeb 200,sɛlɛb tuːhʌndɹɪd,celetor 200,sɛlɛɾɚ tuːhʌndɹɪd,1
aubrex,ɔːbɹɛks,lubrex,lʌbɹɛks,1
cilvex,sɪlvɛks,silvex,sɪlvɛks,1
celence 400,sɛləns fɔːɹhʌndɹɪd,celehan,sɛlɛhən,1
ketoguard,kɛɾəgɑːɹd,metogard,mɛɾəgɑːɹd,1
endusol r,ɛnduːsɑːl ɑːɹ,endusol imb,ɛnduːsɑːl ɪm,1
moxclatab,mɑːksklɐtæb,datab,deɪɾəb,1
losarkip 50,lɑːsɑːɹkɪp fɪfti,losarkip 100,lɑːsɑːɹkɪp wʌnhʌndɹɪd,1
nerveplex ae,nɜːvɪplɛks eɪiː,nervx,nɜːvks,1
st martin,sənt mɑːɹtɪn,stardine,stɑːɹdiːn,1
nirsaph 600,nɜːsæf sɪkshʌndɹɪd,nir ns,nɜːɹ ɛnɛs,1
iztam 45,ɪztæm fɔːɹɾi faɪv,avitam 45,ævɪtæm fɔːɹɾi faɪv,1
domperone,dɑːmpɚɹoʊn,perdone,pɜːdoʊn,1
algabin 75,ælgɐbɪn sɛvənti faɪv,maxgalin 75,mæksgɐlɪn sɛvənti faɪv,1
neurocil,nʊɹɹəsɪl,neurolin,nʊɹɹəlɪn,1
zenith,ziːnɪθ,zentan am,zɛntən ɐm,1
acitrate,ɐsɪtɹeɪt,gitrate,gɪtɹeɪt,1
doctaxel,dɑːktæksəl,docetax,doʊstæks,1
predfirst,pɹɪdfɜːst,prend,pɹɛnd,1
rifoxyn,ɹɪfəksɪn,brofoxin,bɹɑːfəksɪn,1
coglitazone 30,kɑːglɪtæzoʊn θɜːɾi,glito 30,gliːɾoʊ θɜːɾi,1
pipercil 45,paɪpɚsəl fɔːɹɾi faɪv,pencil 50,pɛnsəl fɪfti,1
glurexa,glʊɹɹɛksə,lubrex,lʌbɹɛks,1
tribacef,tɹaɪbeɪsəf,tribact,tɹaɪbækt,1
esmazol,ɛsmɐzɑːl,esozole,ɛsəzoʊl,1
dapzin m 5 forte,dæpzɪn ɛm faɪv fɔːɹɾeɪ,amlo med 5,æmloʊ mɛd faɪv,1
indiurex,ɪndɪjuːɹɛks,indax,ɪndæks,1
clozol,klɑːzɑːl,clazol,klæzɑːl,1
finstal 1,fɪnstɔːl wʌn,finstal 5,fɪnstɔːl faɪv,1
onefix,wʌnfɪks,ropenefix,ɹoʊpnɪfɪks,1
rosubest 20,ɹɑːsuːbɪst twɛnti,rosett 20,ɹoʊzət twɛnti,1
extreme c,ɛkstɹiːm siː,xtrem c,ɛkstɹɛm siː,1
montior l,mɔntjɚɹ ɛl,montil,mɔntəl,1
welltrate,wɛltɹeɪt,techtrate,tɛktɹeɪt,1
montior l,mɔntjɚɹ ɛl,monterio,mɔntɪɹioʊ,1
ifos,aɪfoʊz,ifosmide 1000,aɪfəzmaɪd wʌn θaʊzənd,1
fisteride,fɪstɚɹaɪd,itoride,aɪɾɔːɹaɪd,1
divalpro 125 sprinkles,dɪvælpɹoʊ wʌnhʌndɹɪd twɛnti faɪv spɹɪŋkəlz,asthavert 125,ɐsθævɜːt wʌnhʌndɹɪd twɛnti faɪv,1
puroxan,pjʊɹɹɑːksən,furosan,fjʊɹɹɑːsən,1
varsa,vɑːɹsə,vasacad 160,væsɐkæd wʌnhʌndɹɪd sɪksti,1
rapid c plus d1000,ɹæpɪd siː plʌs diː wʌn θaʊzənd,rapid c plus d200,ɹæpɪd siː plʌs diː tuːhʌndɹɪd,1
nicarfree,nɪkɑːɹfɹiː,nicafar,nɪkɐfɑːɹ,1
bruhep,bɹuːhɛp,bluehep,bluːhɛp,1
onefix,wʌnfɪks,oneflex,wʌnflɛks,1
multizine,mʌltɪziːn,multimin,mʌltimɪn,1
sacriva 750,sækɹɪvə sɛvənhʌndɹɪd fɪfti,clariva 500,klæɹɪvə faɪvhʌndɹɪd,1
colchicine,kɑːltʃɪsiːn,colis,koʊliz,1
tazastar 225,tæzɐstɑːɹ tuːhʌndɹɪd twɛnti faɪv,sitastar 50,sɪɾeɪstɑːɹ fɪfti,1
njectzole,ɛndʒɛktsoʊl,cozole,kɑːzoʊl,1
minox 5,mɪnɑːks faɪv,minox 2,mɪnɑːks tuː,1
alergiquit,ɐlɜːdʒɪkwɪt,lergic,lɜːdʒɪk,1
kercip 400,kɜːsɪp fɔːɹhʌndɹɪd,erlocip 150,ɜːləsɪp wʌnhʌndɹɪd fɪfti,1
ifos,aɪfoʊz,ifosmide 2000,aɪfəzmaɪd tuː θaʊzənd,1
rh com,ɑːɹɹeɪtʃ kɑːm,recombicyte,ɹiːkəmbɪsaɪt,1
ketoran,kɛɾɔːɹən,ketorine,kɛɾɔːɹiːn,1
eoroxime 750,eɪɚɹɑːksaɪm sɛvənhʌndɹɪd fɪfti,theoroxime 750,θiəɹəksaɪm sɛvənhʌndɹɪd fɪfti,1
lipirid,lɪpɪɹɪd,lipiruvin,lɪpɚɹuːvɪn,1
immubulin,ɪmjuːbjʊlɪn,sulfin,sʌlfɪn,1
salrite,sælɹaɪt,saphlite,sæflaɪt,1
ampisaph 500,æmpɪsæf faɪvhʌndɹɪd,ampi 500,æmpi faɪvhʌndɹɪd,1
pantosaph 20,pæntəsæf twɛnti,entax 20,ɛntæks twɛnti,1
rosubest 20,ɹɑːsuːbɪst twɛnti,rosubest 10,ɹɑːsuːbɪst tɛn,1
drapolene,dɹæpoʊliːn,drazone,dɹæzoʊn,1
diosid,dɪɑːsɪd,diozide,dɪɑːzaɪd,1
amphot,æmfɑːt,amphoter iv,æmfoʊɾɚ ɹoʊmən fɔːɹ,1
bepsar,bɛpsɑːɹ,bensarex,bɛnsɛɹks,1
teli 80,tɛli eɪɾi,amity 80 10,æmɪɾi eɪɾi tɛn,1
lifort,lɪfɔːɹt,gliformin,glɪfɔːɹmɪn,1
ponser,pɑːnsɚ,pronerv,pɹoʊnɜːv,1
hizid,hɪzɪd,emizid,ɛmɪzɪd,1
losarkip 50,lɑːsɑːɹkɪp fɪfti,metsaphtin 50 500,mɛtsɐftɪn fɪfti faɪvhʌndɹɪd,1
green viii inj,gɹiːn ɹoʊmən eɪt ɪndʒ,greenxime,gɹiːŋksaɪm,1
ramitob,ɹæmɪtɑːb,mitoban,maɪɾɑːbən,1
coglitazone 30,kɑːglɪtæzoʊn θɜːɾi,glizen 30,glaɪzən θɜːɾi,1
xeomin,zɪɑːmɪn,saphzeemin,sæfziːmɪn,1
enerstress,ɛnɚstɹəs,obstress,əbstɹɛs,1
greenxime,gɹiːŋksaɪm,groxime,gɹɑːksaɪm,1
eoroxime 750,eɪɚɹɑːksaɪm sɛvənhʌndɹɪd fɪfti,euroxime,jʊɹɹoʊksaɪm,1
picinaf,pɪsɪnæf,ampicin,æmpɪsɪn,1
ewel zee plus,juːəl ziː plʌs,muravit cee plus forte,mjʊɹɹɐvɪt siː plʌs fɔːɹɾeɪ,1
ferrqure,fɛrkwɚɹə,zcure,ziːkjʊɹ,1
sacriva 750,sækɹɪvə sɛvənhʌndɹɪd fɪfti,saphrivax 200,sæfɹɪvæks tuːhʌndɹɪd,1
lexibase,lɛksɪbeɪs,flexivate,flɛksɪveɪt,1
folicard,fɑːlɪkɑːɹd,folicap,fɑːlɪkæp,1
nicarfree,nɪkɑːɹfɹiː,nicargen,nɪkɑːɹdʒən,1
rovecol,ɹoʊvkɑːl,rotelol,ɹoʊtlɑːl,1
luotriaxone,ljuːətɹɪɐksoʊn,protriaxone,pɹɑːtɹɪæksoʊn,1
easyef,iːzɪɛf,essefuroxime,ɛsɪfjʊɹɹəksaɪm,1
vaxol,væksɑːl,voxoll,vɑːksɑːl,1
novestrol,noʊvstɹɑːl,neoverzol,niːoʊvɚzɑːl,1
hidrasec,hɪdɹeɪsək,dehidralyte,diːhɪdɹɐlaɪt,1
cloxin,klɑːksɪn,cloxim,klɑːksɪm,1
clavoxsea 457,klævəkssiː fɔːɹhʌndɹɪd fɪfti sɛvən,clavoxel,klævɑːksəl,1
enerflow,ɛnɚfloʊ,uriflow,jʊɹɹaɪfloʊ,1
albestan,ælbɪstɑːn,rabesta,ɹeɪbɛstə,1
varivax,vɑːɹɹɪvæks,varilrix,vɑːɹɹɪlɹɪks,1
startline 50,stɑːɹtlaɪn fɪfti,metsaphtin 50 1000,mɛtsɐftɪn fɪfti wʌn θaʊzənd,1
vibee,vɪbiː,vitree,vɪtɹiː,1
essentiale forte p,ɛsɛnʃəl fɔːɹɾeɪ piː,ascof forte,ɐskɑːf fɔːɹɾeɪ,1
hemosdin,hiːməsdɪn,hespadin,hɛspɐdɪn,1
clozol,klɑːzɑːl,cilozol 100,saɪləzɑːl wʌnhʌndɹɪd,1
gentagem,dʒɛnteɪdʒəm,gentamin,dʒɛntɐmɪn,1
zoledius 4,zoʊldɪəs fɔːɹ,accord zoledronic 4,ɐkɔːɹd zoʊldɹɑːnɪk fɔːɹ,1
sanzepir 50,sænzɪpɪɹ fɪfti,sitamac m 50 1000,sɪɾɐmæk ɛm fɪfti wʌn θaʊzənd,1
hikacure,hɪkɐkjʊɹ,tizacure 150,tɪzɐkjʊɹ wʌnhʌndɹɪd fɪfti,1
cefkizon,sɛfkaɪzən,cefazone,sɛfɐzoʊn,1
aspishield,æspɪʃiːld,pureshield,pjʊɹɹɪʃiːld,1
sethair duo,sɛɾaɪɚ duːoʊ,cetiair,sɛʃɪaɪɚ,1
losar 50,lɑːsɑːɹ fɪfti,losarx 50,lɑːsɑːɹks fɪfti,1
united home dermatec,juːnaɪɾɪd hoʊm dɜːmeɪɾək,dermvast,dɜːmvæst,1
guaifenesin dextromethorpan hydrobromide,gwɑːaɪfnɛsɪn dɛkstɹoʊmθɔːɹpæn haɪdɹəbɹoʊmaɪd,bromed,bɹoʊmd,1
prohexon 300,pɹoʊhɛksən θɹiːhʌndɹɪd,provex,pɹuːvɛks,1
ewel zee plus,juːəl ziː plʌs,rapid c plus d200 mono,ɹæpɪd siː plʌs diː tuːhʌndɹɪd mɑːnoʊ,1
laberfen,læbɚfən,berafen,bɪɹeɪfən,1
tecum 003,tɛkəm ziəɹoʊziəɹoʊ θɹiː,protec,pɹətɛk,1
exerta,ɛgzɜːɾə,excelta,ɛksɛltə,1
oticom,ɑːɾɪkɑːm,levotic cr,lɛvɑːɾɪk siːɑːɹ,1
aspishield,æspɪʃiːld,alcoshield,ælkəʃiːld,1
lidocaine hydrochloride epinephrine as bitartrate,lɪdəkeɪn haɪdɹəklɔːɹaɪd ɛpɪnɛfɹiːn æz baɪtɑːɹtɹeɪt,diphenhydramine as hydrochloride,dɪfənhaɪdɹɐmiːn æz haɪdɹəklɔːɹaɪd,1
rezotam,ɹɪzɑːɾæm,pipzotam 225,pɪpzətæm tuːhʌndɹɪd twɛnti faɪv,1
vitlex,vɪtlɛks,trivitplex,tɹɪvɪtplɛks,1
efergen,ɛfɚdʒən,ferogen,fɛɹədʒən,1
flulon,fluːlɑːn,fluclox,flʌklɑːks,1
visiocare,vɪsɪɑːkɛɹ,nasocare,næsəkɛɹ,1
teli 80,tɛli eɪɾi,telwin 80,tɛlwɪn eɪɾi,1
tenol,tɛnɑːl,tenoliv,tɛnəlɪv,1
maricoxia 90,mæɹɪkɑːksiə naɪnti,ricoxib,ɹɪkəksɪb,1
losarkip 50,lɑːsɑːɹkɪp fɪfti,losark,lɑːsɑːɹk,1
risgen,ɹɪsdʒən,rispen,ɹɪspən,1
clottam,klɑːɾæm,ciltamin 15,sɪltɐmɪn fɪftiːn,1
biopril,baɪoʊpɹɪl,biofil,baɪoʊfɪl,1
glurexa,glʊɹɹɛksə,urixa,jʊɹɹɪksə,1
oticom,ɑːɾɪkɑːm,bicom,bɪkɑːm,1
finstal 1,fɪnstɔːl wʌn,ipstal,ɪpstəl,1
clindavint,klɪndɐvɪnt,clindamit,klɪndɐmɪt,1
clavorilz,klævɔːɹɪlz,riliz,ɹɪlɪz,1
fisteride,fɪstɚɹaɪd,gastride,gæstɹaɪd,1
ivetra 100,aɪvtɹə wʌnhʌndɹɪd,vexplatin ve 100,vɛksplɐtɪn viː wʌnhʌndɹɪd,1
celence 400,sɛləns fɔːɹhʌndɹɪd,celenav,sɛlənæv,1
paratuss,pæɹətʌs,pertussin,pɚtʌsɪn,1
alergiquit,ɐlɜːdʒɪkwɪt,alerix,ɐlɛɹɪks,1
pocym 250,pɑːsɪm tuːhʌndɹɪd fɪfti,polynerv 250 plus zinc 40,pɑːlɪnɜːv tuːhʌndɹɪd fɪfti plʌs zɪŋk fɔːɹɾi,1
esmazol,ɛsmɐzɑːl,espazol,ɛspæzɑːl,1
rezotam,ɹɪzɑːɾæm,prazotam,pɹæzətæm,1
bepsar,bɛpsɑːɹ,zebesar,zɛbɪsɑːɹ,1
diprolene,dɪpɹoʊliːn,ciprollen,sɪpɹoʊlən,1
mednosetron,mɛdnoʊstɹɑːn,setrof,sɛtɹɑːf,1
oxanova,ɑːksɐnoʊvə,roxinova,ɹɑːksɪnoʊvə,1
colchicine,kɑːltʃɪsiːn,colchicare,kɑːltʃɪkɛɹ,1
fisteride,fɪstɚɹaɪd,gosterid,gɑːstɚɹɪd,1
gerdsol,dʒɜːdsɑːl,gerdstop,dʒɜːdstɑːp,1
guaifenesin dextromethorpan hydrobromide,gwɑːaɪfnɛsɪn dɛkstɹoʊmθɔːɹpæn haɪdɹəbɹoʊmaɪd,dextro,dɛkstɹoʊ,1
spevigo,spɛvɪgoʊ,phesgo,fɛsgoʊ,1
sevomond,sɛvɑːmənd,rosumond,ɹɑːsuːmənd,1
katinko ginger amp patchouli oil scent,kætɪŋkoʊ dʒɪndʒɚɹ æmp pætʃuːli ɔɪl sɛnt,katinko oil,kætɪŋkoʊ ɔɪl,1
paranat,pæɹənæt,paranerve plus,pæɹənɜːv plʌs,1
iopamedix,aɪəpeɪmdɪks,medox,mɛdɑːks,1
aviar,eɪvɪɑːɹ,avarix 20,ævɑːɹɹɪks twɛnti,1
finzant,fɪnzənt,finaplasia 1,faɪnɐpleɪʒə wʌn,1
voltaren forte,voʊltæɹən fɔːɹɾeɪ,voltaren,voʊltæɹən,1
bomozid,bɑːməzɪd,comoxi,kəmɑːksi,1
kephazon s q,kɛfeɪzən ɛs kjuː,amosartan q 5 100 20mg,æməsɑːɹtən kjuː faɪv wʌnhʌndɹɪd twɛnti ɛmdʒiː,1
robitussin dm,ɹɑːbaɪtʌsɪn diːɛm,robitussin me,ɹɑːbaɪtʌsɪn miː,1
valzepam,væltsɪpæm,vexepam,vɛksɪpæm,1
letrocord 25,lɛtɹəkɔːɹd twɛnti faɪv,letov 25,lɛɾɑːv twɛnti faɪv,1
ketoguard,kɛɾəgɑːɹd,ketorz,kɛɾɔːɹz,1
prolipidz,pɹɑːlɪpɪdz,trolip,tɹɑːlɪp,1
natrasol plus,nætɹɐsɑːl plʌs,natrasol,nætɹɐsɑːl,1
irbekon,ɜːbɛkən,irbenox,ɜːbənɑːks,1
njectzole,ɛndʒɛktsoʊl,metzole,mɛtsoʊl,1
minox 5,mɪnɑːks faɪv,alamin sn 5,ɐlæmɪn ɛsɛn faɪv,1
zenith,ziːnɪθ,azent,eɪzənt,1
rapidon,ɹæpɪdən,rapidol,ɹæpɪdɑːl,1
sevomond,sɛvɑːmənd,sevomed,sɛvəmd,1
telmiheart plus 925,tɛlmɪhɑːɹt plʌs naɪnhʌndɹɪd twɛnti faɪv,amlomel plus,æmloʊməl plʌs,1
ampisaph 500,æmpɪsæf faɪvhʌndɹɪd,azi 500,æzi faɪvhʌndɹɪd,1
multizine,mʌltɪziːn,metrizine,mɛtɹɪziːn,1
cafgard forte,kæfgɑːɹd fɔːɹɾeɪ,cifrem forte,sɪfɹəm fɔːɹɾeɪ,1
dexmer,dɛksmɚ,dexmedeton,dɛksmɪdɛtən,1
beztin,bɛztɪn,buztin,bʌztɪn,1
ponser,pɑːnsɚ,serc,sɜːk,1
clophen,klɑːfən,clofepen,kloʊfpən,1
risgen,ɹɪsdʒən,irigen,ɪɹaɪdʒən,1
glotoxan 1,glɑːɾɑːksən wʌn,glotoxan 500,glɑːɾɑːksən faɪvhʌndɹɪd,1
vizef,vaɪzəf,corvizem,kɔːɹvaɪzəm,1
glutarite,gluːɾɑːɹɹaɪt,glutabion,gluːɾɐbɪən,1
durazol,dʊɹɹɐzɑːl,urazole,jʊɹɹɐzoʊl,1
vitlex,vɪtlɛks,revitaplex,ɹɪvɪɾɐplɛks,1
tazastar 225,tæzɐstɑːɹ tuːhʌndɹɪd twɛnti faɪv,tazastar 45,tæzɐstɑːɹ fɔːɹɾi faɪv,1
propitaz iv,pɹəpɪɾæz ɹoʊmən fɔːɹ,onitaz,ɑːnɪtæz,1
clavoxsea 457,klævəkssiː fɔːɹhʌndɹɪd fɪfti sɛvən,clavoxsea 625,klævəkssiː sɪkshʌndɹɪd twɛnti faɪv,1
combe five,kəmɛ faɪv,combifen,kəmbaɪfən,1
vaxol,væksɑːl,paxol,pæksɑːl,1
sacriva 750,sækɹɪvə sɛvənhʌndɹɪd fɪfti,losacraft 50,lɑːsɐkɹæft fɪfti,1
clindavint,klɪndɐvɪnt,clindaxin,klɪndɐksɪn,1
extreme c,ɛkstɹiːm siː,extreme z,ɛkstɹiːm ziː,1
sunpant 40,sʌnpənt fɔːɹɾi,pantin 40,pæntɪn fɔːɹɾi,1
amloval 160 10,æmluːvəl wʌnhʌndɹɪd sɪksti tɛn,amlus 10,æmləs tɛn,1
pantazil,pæntɐzɪl,pantaz,pæntæz,1
sacriva 750,sækɹɪvə sɛvənhʌndɹɪd fɪfti,toriva 75,tɔːɹɪvə sɛvənti faɪv,1
telmiheart 40,tɛlmɪhɑːɹt fɔːɹɾi,olmax 40,ɑːlmæks fɔːɹɾi,1
dia bplex,daɪə biːplɛks,b plex,biː plɛks,1
glotoxan 1,glɑːɾɑːksən wʌn,doxan,dɑːksən,1
clariwin dt,klæɹɪwɪn diːtiː,clarion,klæɹiən,1
rinobact spray,ɹɪnəbækt spɹeɪ,rinobact p spray,ɹɪnəbækt piː spɹeɪ,1
candegen,kændɛdʒən,candifen,kændaɪfən,1
lifort,lɪfɔːɹt,medifortan,mɛdɪfɔːɹtən,1
prolipidz,pɹɑːlɪpɪdz,prolide,pɹɑːlaɪd,1
oxanova,ɑːksɐnoʊvə,laxanova,læksɐnoʊvə,1
dexmer,dɛksmɚ,dexameds,dɛkseɪmdz,1
dutasusaph,duːɾɐsuːsæf,duasaph,duːɐsæf,1
caxetil,kæksɪtɪl,axet,æksɪt,1
co amoxisaph 457,koʊ æməksɪsæf fɔːɹhʌndɹɪd fɪfti sɛvən,co amoxisaph 125,koʊ æməksɪsæf wʌnhʌndɹɪd twɛnti faɪv,1
cosimetz,kɑːsaɪməts,coximed,kɑːksaɪmd,1
boost,buːst,booster c,buːstɚ siː,1
febstat 40,fɛbstæt fɔːɹɾi,febsan 40,fɛbsən fɔːɹɾi,1
medivasc,mɛdɪvæsk,metovasc,mɛɾəvæsk,1
kogzib 60,kɑːgzɪb sɪksti,korzid,kɔːɹzɪd,1
novestrol,noʊvstɹɑːl,norvatrol,nɔːɹvɐtɹɑːl,1
laberfen,læbɚfən,larfen,lɑːɹfən,1
visiocare,vɪsɪɑːkɛɹ,vispocaf,vɪspəkæf,1
melifrin ds,mɛlɪfɹɪn diːɛs,melfor,mɛlfɚ,1
blirelin,blaɪɚlɪn,bliron,blaɪɚn,1
beztin,bɛztɪn,brestin,bɹɛstɪn,1
ivetra 100,aɪvtɹə wʌnhʌndɹɪd,ivetra 250,aɪvtɹə tuːhʌndɹɪd fɪfti,1
luotriaxone,ljuːətɹɪɐksoʊn,gotriaxone,gɑːtɹɪæksoʊn,1
losar 50,lɑːsɑːɹ fɪfti,duoglica plus 50 500,duːɑːglɪkə plʌs fɪfti faɪvhʌndɹɪd,1
nicardilex,nɪkɑːɹdaɪlɛks,nicardin,nɪkɑːɹdɪn,1
glurexa,glʊɹɹɛksə,glicarex,glɪkɛɹks,1
hema k,hɛmə keɪ,hemafer f,hɛmeɪfɚɹ ɛf,1
hikacure,hɪkɐkjʊɹ,tizacure 100,tɪzɐkjʊɹ wʌnhʌndɹɪd,1
acellbia,ɐsɛlbiə,celabin,sɛlɐbɪn,1
myelax,maɪɪlæks,mulax,mjʊlæks,1
tecum 003,tɛkəm ziəɹoʊziəɹoʊ θɹiː,rocum,ɹɑːkəm,1
dapzin m 5 forte,dæpzɪn ɛm faɪv fɔːɹɾeɪ,aml 5,æməl faɪv,1
torcand 8,tɔːɹkænd eɪt,torcand 32,tɔːɹkænd θɜːɾi tuː,1
ventcare,vɛntkɛɹ,ventar,vɛntɚ,1
carbosaph c500,kɑːɹbəsæf siː faɪvhʌndɹɪd,carbonish 150,kɑːɹbɑːnɪʃ wʌnhʌndɹɪd fɪfti,1
stanxime,stæŋksaɪm,stanis,stæniz,1
omecore,oʊmkɔːɹ,ometor,oʊmtɚ,1
zevelatab,zɛvɪlæɾæb,sevelasan,sɛvɪlæsən,1
kercip 400,kɜːsɪp fɔːɹhʌndɹɪd,vercin,vɜːsɪn,1
flulon,fluːlɑːn,fluocinolone acetonide,fljuːəsɪnəloʊn æsɪtɑːnaɪd,1
telsar 80,tɛlsɑːɹ eɪɾi,telsartin 80,tɛlsɑːɹtɪn eɪɾi,1
glutarite,gluːɾɑːɹɹaɪt,gluta iv,gluːɾɚ ɹoʊmən fɔːɹ,1
montelev,mɔntɪlɛv,montezel,mɔntɛzəl,1
affolac,ɐfɑːlæk,aflacin,ɐflæsɪn,1
hema k,hɛmə keɪ,hemamed plus,hɛmeɪmd plʌs,1
prolipidz,pɹɑːlɪpɪdz,liprol,lɪpɹɑːl,1
combifen,kəmbaɪfən,combigan,kəmbɪgən,1
rivanex 20,ɹɪveɪnɛks twɛnti,ranex,ɹeɪnɛks,1
retapenem,ɹɪteɪpnəm,retapentin,ɹɪɾeɪpɛntɪn,1
saphceetrate,sæfsiːtɹeɪt,saphcorzee forte,sæfkɔːɹziː fɔːɹɾeɪ,1
predixone,pɹiːdɪksoʊn,prednizole,pɹɪdnɪzoʊl,1
neurobiz,nʊɹɹəbɪz,neurovit,nʊɹɹəvɪt,1
berodual f udv,bɪɹɑːdʒuːəl ɛf ʌdv,ural,juːɚɹəl,1
